prompt,outdir,init_img,skip_grid,skip_save,ddim_steps,ddim_eta,n_iter,H,W,strength,n_samples,n_rows,scale,from_file,seed,device,unet_bs,turbo,precision,format
'the bot working correctly',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,279287,cuda,1,True,autocast,png
'',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,113693,cuda,1,True,autocast,png
'',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,876956,cuda,1,True,autocast,png
'',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,296165,cuda,1,True,autocast,png
'an angry husband with milk',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,334725,cuda,1,True,autocast,png
'a living moai statue',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,248694,cuda,1,True,autocast,png
'a living moai statue',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,361202,cuda,1,True,autocast,png
'a cool guy in a leather jacket',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,770440,cuda,1,True,autocast,png
'fat man in a suit',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,828448,cuda,1,True,autocast,png
'a sleeping orange cat laying on his back',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,711020,cuda,1,True,autocast,png
'pikachu's brother',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,284583,cuda,1,True,autocast,png
'the face of a troll',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,53499,cuda,1,True,autocast,png
'meme',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,423254,cuda,1,True,autocast,png
'robotnik',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,424322,cuda,1,True,autocast,png
'troll jerma985',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,488711,cuda,1,True,autocast,png
'alton brown',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,469699,cuda,1,True,autocast,png
'alton brown',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,359389,cuda,1,True,autocast,png
'alton brown',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,13505,cuda,1,True,autocast,png
'cheesy',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,104614,cuda,1,True,autocast,png
'gordon ramsay',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,12669,cuda,1,True,autocast,png
'gordon ramsay',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,49981,cuda,1,True,autocast,png
'a head in a jar',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,476032,cuda,1,True,autocast,png
'gordon ramsey',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,46637,cuda,1,True,autocast,png
'england',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,516041,cuda,1,True,autocast,png
'willem dafoe',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,562875,cuda,1,True,autocast,png
'willem dafoe',/project/ralabota/cogs/img2img/output,/project/ralabota/most-recent-attachment,False,False,50,0.0,1,512,512,0.8,1,0,7.5,,446482,cuda,1,True,autocast,png
