prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
,./output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,314364,1,True,autocast,png,,
,./output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,446651,1,True,autocast,png,,
,./output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,74315,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,637184,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,771559,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,817210,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,780921,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,961766,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,10953,1,True,autocast,png,,
,/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,6,0,7.5,cuda,,528076,1,True,autocast,png,,
'hairy red dangerous william',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,529840,1,True,autocast,png,,
'hairy red dangerous william',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,294024,1,True,autocast,png,,
'Trump playing chess with Jerma',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,754507,1,True,autocast,png,,
'minions robbing bbq chicken',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,488065,1,True,autocast,png,,
"'Minions committing war crimes, 1944'",/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,798725,1,True,autocast,png,,
'minions pokemon cards',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,464021,1,True,autocast,png,,
'minions brand white bread',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,679423,1,True,autocast,png,,
'kid named finger minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,967739,1,True,autocast,png,,
'saul goodman minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,773710,1,True,autocast,png,,
'hot minion sex',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,77332,1,True,autocast,png,,
'minions 90s album cover ska',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,590256,1,True,autocast,png,,
'dallas payday minion mask',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,419524,1,True,autocast,png,,
'elvis presley minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,775337,1,True,autocast,png,,
"'Minion thinking, Vincent Van Gogh'",/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,25489,1,True,autocast,png,,
'hitler eating minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,541177,1,True,autocast,png,,
'minion themed refrigerator',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,615589,1,True,autocast,png,,
'elvis presley minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,409987,1,True,autocast,png,,
'minion themed futon',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,430602,1,True,autocast,png,,
"'Minion thinking, Vincent Van Gogh'",/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,273136,1,True,autocast,png,,
' minion utz chips',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,971692,1,True,autocast,png,,
'bag of minions potato chips',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,294638,1,True,autocast,png,,
'a bowl of soup that is also a portal to another dimension digital art',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,848244,1,True,autocast,png,,
'stained glass minion portrait church',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,419834,1,True,autocast,png,,
'Joe Biden frustrated because he can't login to Facebook',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,659179,1,True,autocast,png,,
'confederate minion statue being torn down',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,738008,1,True,autocast,png,,
'minion confederate statue',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,317296,1,True,autocast,png,,
'Obama with really long legs',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,857400,1,True,autocast,png,,
'gordon ramsey scolding minions cooking',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,311028,1,True,autocast,png,,
'naked minions italian',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,303634,1,True,autocast,png,,
'evil hairy dangerous minions',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,148870,1,True,autocast,png,,
'exploding minion carcass',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,667144,1,True,autocast,png,,
'captain crunch Oops! all minions cereal',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,361067,1,True,autocast,png,,
'jerma doing the sus face',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,676388,1,True,autocast,png,,
'willem dafoe doing the sus face',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,675049,1,True,autocast,png,,
'Conservative boomer meme',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,702322,1,True,autocast,png,,
'gorbachev tutu',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,350777,1,True,autocast,png,,
'joeseph stalin red dress',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,755032,1,True,autocast,png,,
'kpop',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,363781,1,True,autocast,png,,
'mariah confusion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,495345,1,True,autocast,png,,
'bloodborne hunter eating kfc',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,961920,1,True,autocast,png,,
'mariah meme',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,551334,1,True,autocast,png,,
'Darth Vader learning to ride a bike',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,293987,1,True,autocast,png,,
'Homer Simpson stuck in LSD trip',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,957003,1,True,autocast,png,,
'peter griffin fighting homer simpson',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,130302,1,True,autocast,png,,
'Yoda tripping through time digital art',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,525724,1,True,autocast,png,,
'An obese homeless Pikachu holding a paper cup. Hard-hitting documentary still image',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,744747,1,True,autocast,png,,
'An obese homeless Pikachu holding a paper cup. Hard-hitting documentary still image',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,994083,1,True,autocast,png,,
"'The Reddit admin, by Rene Magritte'",/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,472615,1,True,autocast,png,,
"'Mustard Jar, by Rene Magritte'",/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,899143,1,True,autocast,png,,
'ralis skipping down the streete',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,416839,1,True,autocast,png,,
'tommy wiseau playing football',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,312091,1,True,autocast,png,,
'michael myers as austin powers',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,358928,1,True,autocast,png,,
'michael myers as borat',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,488052,1,True,autocast,png,,
'michael myers as a minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,314523,1,True,autocast,png,,
'jason voorhees as gru',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,518805,1,True,autocast,png,,
'metal gear solid minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,756958,1,True,autocast,png,,
'irish lad minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,98372,1,True,autocast,png,,
'metal gear solid as a minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,645238,1,True,autocast,png,,
'easy pete fallout new vegas',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,910738,1,True,autocast,png,,
'jerma in tf2',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,775225,1,True,autocast,png,,
'human cactus',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,103534,1,True,autocast,png,,
'cactus with human skin',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,832094,1,True,autocast,png,,
'cactus wife',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,93797,1,True,autocast,png,,
'courtroom sketch cactus',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,966412,1,True,autocast,png,,
'cactus disguised as human',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,690959,1,True,autocast,png,,
'courtroom sketch obama eating hotdog',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,986492,1,True,autocast,png,,
'mugshot minion',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,148848,1,True,autocast,png,,
'minion becoming a victim of police brutality',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,739568,1,True,autocast,png,,
'mickey mouse gogku fusion dance',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,256430,1,True,autocast,png,,
'majin buu big anime titties',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,912464,1,True,autocast,png,,
'Freeza as pepsiman',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,944083,1,True,autocast,png,,
'Frieza as pepsiman',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,482383,1,True,autocast,png,,
'swedish chef on fire',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,257037,1,True,autocast,png,,
'Danny Devito as goku anime',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,776109,1,True,autocast,png,,
'danny devito in Fallout new vegas',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,37412,1,True,autocast,png,,
'Mr Clean eating watermelon',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,367641,1,True,autocast,png,,
'The greatest meal I have ever seen',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,633443,1,True,autocast,png,,
'Jeni as uranus eating his son',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,130694,1,True,autocast,png,,
'Naruto eating hamburger',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,289597,1,True,autocast,png,,
'the one piece is real',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,775428,1,True,autocast,png,,
'Piccolo playing piccolo',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,432434,1,True,autocast,png,,
'cad bane playing the saxophone',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,414832,1,True,autocast,png,,
'Seven ate Nine',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,202070,1,True,autocast,png,,
'dbz piccolo playing a piccolo',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,962679,1,True,autocast,png,,
'Namekian named finger',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,543537,1,True,autocast,png,,
'Jason Chugging Dr.Pepper until die',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,639603,1,True,autocast,png,,
'dr.pepper candle',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,203443,1,True,autocast,png,,
'1920s cactus cartoon character',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,504370,1,True,autocast,png,,
'1800s comic about a friendly cactus',/project/quibbot/stable-diffusion/output,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,634944,1,True,autocast,png,,
